"","grp_code","state","group","emp_rate","unemp_rate"
"221",38,"Connecticut","Women, 55 to 64 years",63.2,6.5
"222",39,"Connecticut","Women, 65 years and over",15.8,4.9
"242",26,"Delaware","Men, 16 to 19 years",25.5,25
"243",27,"Delaware","Men, 20 to 24 years",61.5,15.7
"244",28,"Delaware","Men, 25 to 34 years",84.5,6.3
"245",29,"Delaware","Men, 35 to 44 years",84.5,5.3
"246",30,"Delaware","Men, 45 to 54 years",79.5,5.3
"247",31,"Delaware","Men, 55 to 64 years",63.3,3.4
"248",32,"Delaware","Men, 65 years and over",20.7,2.8
"249",33,"Delaware","Women, 16 to 19 years",29.7,15.2
"250",34,"Delaware","Women, 20 to 24 years",63,11.2
"251",35,"Delaware","Women, 25 to 34 years",66.5,8.7
"252",36,"Delaware","Women, 35 to 44 years",72.9,4.5
"253",37,"Delaware","Women, 45 to 54 years",69.4,6.5
"254",38,"Delaware","Women, 55 to 64 years",53.8,5.2
"255",39,"Delaware","Women, 65 years and over",13.8,4.8
"275",26,"District of Columbia","Men, 16 to 19 years",11.8,41.1
"276",27,"District of Columbia","Men, 20 to 24 years",57.3,15.3
"277",28,"District of Columbia","Men, 25 to 34 years",83.7,6.8
"278",29,"District of Columbia","Men, 35 to 44 years",86.8,5.6
"279",30,"District of Columbia","Men, 45 to 54 years",71.9,11.4
"280",31,"District of Columbia","Men, 55 to 64 years",63.8,9.4
"281",32,"District of Columbia","Men, 65 years and over",25.5,5.3
"282",33,"District of Columbia","Women, 16 to 19 years",16.7,28.9
"283",34,"District of Columbia","Women, 20 to 24 years",61.7,10.2
"284",35,"District of Columbia","Women, 25 to 34 years",76.9,7.1
"285",36,"District of Columbia","Women, 35 to 44 years",77.7,7.8
"286",37,"District of Columbia","Women, 45 to 54 years",67.1,9.5
"287",38,"District of Columbia","Women, 55 to 64 years",58.6,9.4
"288",39,"District of Columbia","Women, 65 years and over",21.3,6.3
"308",26,"Florida","Men, 16 to 19 years",23.4,20.1
"309",27,"Florida","Men, 20 to 24 years",62.2,12.2
"310",28,"Florida","Men, 25 to 34 years",79.7,8.2
"311",29,"Florida","Men, 35 to 44 years",85.1,6.1
"312",30,"Florida","Men, 45 to 54 years",80.2,5.9
"313",31,"Florida","Men, 55 to 64 years",67.1,6.5
"314",32,"Florida","Men, 65 years and over",18.8,6.2
"315",33,"Florida","Women, 16 to 19 years",26.4,11.6
"316",34,"Florida","Women, 20 to 24 years",61.7,9.2
"317",35,"Florida","Women, 25 to 34 years",67.1,7.2
"318",36,"Florida","Women, 35 to 44 years",69.6,5.7
"319",37,"Florida","Women, 45 to 54 years",68.8,6.4
"320",38,"Florida","Women, 55 to 64 years",56.5,6.1
"321",39,"Florida","Women, 65 years and over",12.4,5.6
"341",26,"Georgia","Men, 16 to 19 years",19.4,33.8
"342",27,"Georgia","Men, 20 to 24 years",61.5,13.6
"343",28,"Georgia","Men, 25 to 34 years",79.7,7.9
"344",29,"Georgia","Men, 35 to 44 years",86.2,5.2
"345",30,"Georgia","Men, 45 to 54 years",80.8,5.2
"346",31,"Georgia","Men, 55 to 64 years",66.8,3.1
"347",32,"Georgia","Men, 65 years and over",21.3,7.7
"348",33,"Georgia","Women, 16 to 19 years",18.9,28.9
"349",34,"Georgia","Women, 20 to 24 years",52.6,15.9
"350",35,"Georgia","Women, 25 to 34 years",65.9,10.6
"351",36,"Georgia","Women, 35 to 44 years",66.2,8.1
"352",37,"Georgia","Women, 45 to 54 years",68.1,6
"353",38,"Georgia","Women, 55 to 64 years",49.6,6.1
"354",39,"Georgia","Women, 65 years and over",13.9,6
"372",26,"Hawaii","Men, 16 to 19 years",22.8,18.3
"373",27,"Hawaii","Men, 20 to 24 years",64.1,12.1
"374",28,"Hawaii","Men, 25 to 34 years",82,4.6
"375",29,"Hawaii","Men, 35 to 44 years",84.6,3.3
"376",30,"Hawaii","Men, 45 to 54 years",84.6,3.8
"377",31,"Hawaii","Men, 55 to 64 years",67.2,5.3
"378",32,"Hawaii","Men, 65 years and over",20.6,4.8
"379",33,"Hawaii","Women, 16 to 19 years",19,17.7
"380",34,"Hawaii","Women, 20 to 24 years",56.8,7.7
"381",35,"Hawaii","Women, 25 to 34 years",69.2,4
"382",36,"Hawaii","Women, 35 to 44 years",71.1,3.2
"383",37,"Hawaii","Women, 45 to 54 years",75.1,1.9
"384",38,"Hawaii","Women, 55 to 64 years",60.3,4.8
"385",39,"Hawaii","Women, 65 years and over",14.5,1.8
"402",26,"Idaho","Men, 16 to 19 years",32.6,21
"403",27,"Idaho","Men, 20 to 24 years",72.7,8.6
"404",28,"Idaho","Men, 25 to 34 years",85.2,6.3
"405",29,"Idaho","Men, 35 to 44 years",89.2,4.7
"406",30,"Idaho","Men, 45 to 54 years",85.5,3.4
"407",31,"Idaho","Men, 55 to 64 years",71.4,4.7
"408",32,"Idaho","Men, 65 years and over",19.1,4.9
"409",33,"Idaho","Women, 16 to 19 years",37.2,19.3
"410",34,"Idaho","Women, 20 to 24 years",64.3,11.6
"411",35,"Idaho","Women, 25 to 34 years",65.2,8.5
"412",36,"Idaho","Women, 35 to 44 years",67.3,4.7
"413",37,"Idaho","Women, 45 to 54 years",73.7,5.5
"414",38,"Idaho","Women, 55 to 64 years",60.8,4.3
