"","grp_code","state","group","emp_rate","unemp_rate"
"1055",36,"New York","Women, 35 to 44 years",69.5,5.7
"1056",37,"New York","Women, 45 to 54 years",70,5.7
"1057",38,"New York","Women, 55 to 64 years",57,4.6
"1058",39,"New York","Women, 65 years and over",14.3,7.9
"1078",26,"North Carolina","Men, 16 to 19 years",24.8,30.5
"1079",27,"North Carolina","Men, 20 to 24 years",60.3,16.1
"1080",28,"North Carolina","Men, 25 to 34 years",84.2,7.1
"1081",29,"North Carolina","Men, 35 to 44 years",85.6,5.7
"1082",30,"North Carolina","Men, 45 to 54 years",80.5,7.2
"1083",31,"North Carolina","Men, 55 to 64 years",64.2,5.2
"1084",32,"North Carolina","Men, 65 years and over",18.6,3.8
"1085",33,"North Carolina","Women, 16 to 19 years",21.8,22.3
"1086",34,"North Carolina","Women, 20 to 24 years",54.9,16.9
"1087",35,"North Carolina","Women, 25 to 34 years",67.9,7.9
"1088",36,"North Carolina","Women, 35 to 44 years",73.6,6.6
"1089",37,"North Carolina","Women, 45 to 54 years",68.9,5
"1090",38,"North Carolina","Women, 55 to 64 years",52.2,5.2
"1091",39,"North Carolina","Women, 65 years and over",11.4,4.5
"1105",26,"North Dakota","Men, 16 to 19 years",52,5
"1106",27,"North Dakota","Men, 20 to 24 years",77.7,5.7
"1107",28,"North Dakota","Men, 25 to 34 years",89.3,3.2
"1108",29,"North Dakota","Men, 35 to 44 years",90,3.4
"1109",30,"North Dakota","Men, 45 to 54 years",89.9,2.7
"1110",31,"North Dakota","Men, 55 to 64 years",76.5,2.3
"1111",32,"North Dakota","Men, 65 years and over",30.6,2.9
"1112",34,"North Dakota","Women, 20 to 24 years",76.8,4
"1113",35,"North Dakota","Women, 25 to 34 years",79,1.7
"1114",36,"North Dakota","Women, 35 to 44 years",81.3,1.8
"1115",37,"North Dakota","Women, 45 to 54 years",81.6,2
"1116",38,"North Dakota","Women, 55 to 64 years",68.9,2
"1117",39,"North Dakota","Women, 65 years and over",20.7,1.4
"1137",26,"Ohio","Men, 16 to 19 years",34.6,20.3
"1138",27,"Ohio","Men, 20 to 24 years",62.7,16.9
"1139",28,"Ohio","Men, 25 to 34 years",81.8,7.7
"1140",29,"Ohio","Men, 35 to 44 years",81.7,7.8
"1141",30,"Ohio","Men, 45 to 54 years",76.1,6.7
"1142",31,"Ohio","Men, 55 to 64 years",63.5,4.6
"1143",32,"Ohio","Men, 65 years and over",22.1,3.8
"1144",33,"Ohio","Women, 16 to 19 years",36.1,18.5
"1145",34,"Ohio","Women, 20 to 24 years",71.7,9.3
"1146",35,"Ohio","Women, 25 to 34 years",70.3,7.4
"1147",36,"Ohio","Women, 35 to 44 years",70.5,6.4
"1148",37,"Ohio","Women, 45 to 54 years",70.8,4.7
"1149",38,"Ohio","Women, 55 to 64 years",55.5,5.3
"1150",39,"Ohio","Women, 65 years and over",15.2,3.5
"1170",26,"Oklahoma","Men, 16 to 19 years",29.1,22.6
"1171",27,"Oklahoma","Men, 20 to 24 years",76.7,8.4
"1172",28,"Oklahoma","Men, 25 to 34 years",84.1,6.2
"1173",29,"Oklahoma","Men, 35 to 44 years",85.4,5.1
"1174",30,"Oklahoma","Men, 45 to 54 years",82.7,4.5
"1175",31,"Oklahoma","Men, 55 to 64 years",70,2.6
"1176",32,"Oklahoma","Men, 65 years and over",26,1.1
"1177",34,"Oklahoma","Women, 20 to 24 years",65.9,7.9
"1178",35,"Oklahoma","Women, 25 to 34 years",60.6,8.4
"1179",36,"Oklahoma","Women, 35 to 44 years",63.8,5.3
"1180",37,"Oklahoma","Women, 45 to 54 years",68.5,3.1
"1181",38,"Oklahoma","Women, 55 to 64 years",57.2,2.4
"1182",39,"Oklahoma","Women, 65 years and over",14.7,1.7
"1200",26,"Oregon","Men, 16 to 19 years",23.5,29.5
"1201",27,"Oregon","Men, 20 to 24 years",61.4,15.2
"1202",28,"Oregon","Men, 25 to 34 years",79.6,9.9
"1203",29,"Oregon","Men, 35 to 44 years",83.7,6.9
"1204",30,"Oregon","Men, 45 to 54 years",77.6,5.7
"1205",31,"Oregon","Men, 55 to 64 years",64,5.1
"1206",32,"Oregon","Men, 65 years and over",16.3,3.5
"1207",33,"Oregon","Women, 16 to 19 years",27.2,25.4
"1208",34,"Oregon","Women, 20 to 24 years",62.9,9.3
"1209",35,"Oregon","Women, 25 to 34 years",69.9,6
"1210",36,"Oregon","Women, 35 to 44 years",69.6,6.1
"1211",37,"Oregon","Women, 45 to 54 years",69.3,7.7
"1212",38,"Oregon","Women, 55 to 64 years",52,4.9
"1213",39,"Oregon","Women, 65 years and over",11.7,5.4
"1233",26,"Pennsylvania","Men, 16 to 19 years",29,26.1
"1234",27,"Pennsylvania","Men, 20 to 24 years",60.2,14.6
"1235",28,"Pennsylvania","Men, 25 to 34 years",81.9,8.6
"1236",29,"Pennsylvania","Men, 35 to 44 years",85.1,5.7
"1237",30,"Pennsylvania","Men, 45 to 54 years",80.6,6.7
"1238",31,"Pennsylvania","Men, 55 to 64 years",67.8,5.7
"1239",32,"Pennsylvania","Men, 65 years and over",21.5,5.4
"1240",33,"Pennsylvania","Women, 16 to 19 years",33.9,18.3
"1241",34,"Pennsylvania","Women, 20 to 24 years",64.7,9.9
"1242",35,"Pennsylvania","Women, 25 to 34 years",69.6,8.2
"1243",36,"Pennsylvania","Women, 35 to 44 years",73.5,3.6
"1244",37,"Pennsylvania","Women, 45 to 54 years",70.3,5.8
"1245",38,"Pennsylvania","Women, 55 to 64 years",57.4,5.7
"1246",39,"Pennsylvania","Women, 65 years and over",12.7,7.3
"1266",26,"Rhode Island","Men, 16 to 19 years",27,28.8
"1267",27,"Rhode Island","Men, 20 to 24 years",61.1,15.9
"1268",28,"Rhode Island","Men, 25 to 34 years",79.8,9.6
"1269",29,"Rhode Island","Men, 35 to 44 years",85.2,7.3
"1270",30,"Rhode Island","Men, 45 to 54 years",80.9,8.4
"1271",31,"Rhode Island","Men, 55 to 64 years",69.3,8
"1272",32,"Rhode Island","Men, 65 years and over",24.3,8.5
"1273",33,"Rhode Island","Women, 16 to 19 years",35.3,22.4
"1274",34,"Rhode Island","Women, 20 to 24 years",65.9,9
"1275",35,"Rhode Island","Women, 25 to 34 years",67.7,10.4
"1276",36,"Rhode Island","Women, 35 to 44 years",73.4,7
"1277",37,"Rhode Island","Women, 45 to 54 years",73.8,7.3
"1278",38,"Rhode Island","Women, 55 to 64 years",57.3,7.2
"1279",39,"Rhode Island","Women, 65 years and over",16.5,4.2
"1299",26,"South Carolina","Men, 16 to 19 years",19.3,36.4
"1300",27,"South Carolina","Men, 20 to 24 years",64.7,12.9
"1301",28,"South Carolina","Men, 25 to 34 years",80.1,8.7
"1302",29,"South Carolina","Men, 35 to 44 years",82.2,5.4
"1303",30,"South Carolina","Men, 45 to 54 years",75,6.1
"1304",31,"South Carolina","Men, 55 to 64 years",58.6,3.6
"1305",32,"South Carolina","Men, 65 years and over",21.8,2.9
"1306",33,"South Carolina","Women, 16 to 19 years",26.9,19.4
"1307",34,"South Carolina","Women, 20 to 24 years",53.5,13.1
"1308",35,"South Carolina","Women, 25 to 34 years",67,8.5
"1309",36,"South Carolina","Women, 35 to 44 years",70,5.3
"1310",37,"South Carolina","Women, 45 to 54 years",67.8,5.9
"1311",38,"South Carolina","Women, 55 to 64 years",49.3,6.6
"1312",39,"South Carolina","Women, 65 years and over",10.7,6.1
"1328",26,"South Dakota","Men, 16 to 19 years",45.5,10.6
"1329",27,"South Dakota","Men, 20 to 24 years",75.9,7.5
"1330",28,"South Dakota","Men, 25 to 34 years",90.7,3.4
"1331",29,"South Dakota","Men, 35 to 44 years",88.6,2.4
"1332",30,"South Dakota","Men, 45 to 54 years",87.3,3.2
"1333",31,"South Dakota","Men, 55 to 64 years",75,3
"1334",32,"South Dakota","Men, 65 years and over",29.2,2.4
"1335",33,"South Dakota","Women, 16 to 19 years",48.5,10.1
"1336",34,"South Dakota","Women, 20 to 24 years",71.6,6.6
"1337",35,"South Dakota","Women, 25 to 34 years",81.7,1.9
"1338",36,"South Dakota","Women, 35 to 44 years",76.5,4.7
"1339",37,"South Dakota","Women, 45 to 54 years",80.8,2.4
"1340",38,"South Dakota","Women, 55 to 64 years",71.8,1.7
"1341",39,"South Dakota","Women, 65 years and over",18,1.5
"1361",26,"Tennessee","Men, 16 to 19 years",27.1,35.6
"1362",27,"Tennessee","Men, 20 to 24 years",69.3,13.8
"1363",28,"Tennessee","Men, 25 to 34 years",83,7.7
"1364",29,"Tennessee","Men, 35 to 44 years",85.1,6.4
"1365",30,"Tennessee","Men, 45 to 54 years",74.8,6.1
"1366",31,"Tennessee","Men, 55 to 64 years",63.1,4.8
"1367",32,"Tennessee","Men, 65 years and over",21.4,5
"1368",33,"Tennessee","Women, 16 to 19 years",26.5,27.2
"1369",34,"Tennessee","Women, 20 to 24 years",60.7,13.3
"1370",35,"Tennessee","Women, 25 to 34 years",63.9,8.8
"1371",36,"Tennessee","Women, 35 to 44 years",68,6.5
"1372",37,"Tennessee","Women, 45 to 54 years",68.1,4.5
"1373",38,"Tennessee","Women, 55 to 64 years",47.6,4.7
"1374",39,"Tennessee","Women, 65 years and over",12.8,4.4
"1394",26,"Texas","Men, 16 to 19 years",27.4,21.4
"1395",27,"Texas","Men, 20 to 24 years",70.6,11.1
"1396",28,"Texas","Men, 25 to 34 years",85.1,6.4
"1397",29,"Texas","Men, 35 to 44 years",88,4.3
"1398",30,"Texas","Men, 45 to 54 years",84.7,3.9
"1399",31,"Texas","Men, 55 to 64 years",69.2,4.6
"1400",32,"Texas","Men, 65 years and over",26.1,3.6
"1401",33,"Texas","Women, 16 to 19 years",25.7,21.7
"1402",34,"Texas","Women, 20 to 24 years",58.2,10.3
"1403",35,"Texas","Women, 25 to 34 years",63.4,6.4
"1404",36,"Texas","Women, 35 to 44 years",66.6,5.3
"1405",37,"Texas","Women, 45 to 54 years",69.3,4.7
"1406",38,"Texas","Women, 55 to 64 years",54.9,4.8
"1407",39,"Texas","Women, 65 years and over",16.2,3.3
"1424",26,"Utah","Men, 16 to 19 years",37.6,18.7
"1425",27,"Utah","Men, 20 to 24 years",79.9,6.3
"1426",28,"Utah","Men, 25 to 34 years",90.2,3.2
"1427",29,"Utah","Men, 35 to 44 years",88.5,3.9
"1428",30,"Utah","Men, 45 to 54 years",89.6,2.9
"1429",31,"Utah","Men, 55 to 64 years",75.2,2.8
"1430",32,"Utah","Men, 65 years and over",25.6,3.4
"1431",33,"Utah","Women, 16 to 19 years",44.9,11.8
"1432",34,"Utah","Women, 20 to 24 years",73.9,6.1
"1433",35,"Utah","Women, 25 to 34 years",63,3.6
"1434",36,"Utah","Women, 35 to 44 years",67.5,4.1
"1435",37,"Utah","Women, 45 to 54 years",68.8,3.3
"1436",38,"Utah","Women, 55 to 64 years",60.5,3.1
"1437",39,"Utah","Women, 65 years and over",13.8,1.1
"1451",26,"Vermont","Men, 16 to 19 years",34.6,17.4
"1452",27,"Vermont","Men, 20 to 24 years",67.3,7
"1453",28,"Vermont","Men, 25 to 34 years",82.6,6.2
"1454",29,"Vermont","Men, 35 to 44 years",88.9,2.7
"1455",30,"Vermont","Men, 45 to 54 years",86,3.6
"1456",31,"Vermont","Men, 55 to 64 years",76.4,4
"1457",32,"Vermont","Men, 65 years and over",26.7,2.2
"1458",33,"Vermont","Women, 16 to 19 years",38.9,13.1
"1459",34,"Vermont","Women, 20 to 24 years",66.2,10.9
"1460",35,"Vermont","Women, 25 to 34 years",75.4,4.6
"1461",36,"Vermont","Women, 35 to 44 years",79.9,2.9
"1462",37,"Vermont","Women, 45 to 54 years",83.5,1.6
"1463",38,"Vermont","Women, 55 to 64 years",73.1,2
"1464",39,"Vermont","Women, 65 years and over",19.1,4.7
"1484",26,"Virginia","Men, 16 to 19 years",26.8,23.9
"1485",27,"Virginia","Men, 20 to 24 years",64.6,13.3
"1486",28,"Virginia","Men, 25 to 34 years",85.4,5.5
"1487",29,"Virginia","Men, 35 to 44 years",90,4.8
"1488",30,"Virginia","Men, 45 to 54 years",85.2,2.6
"1489",31,"Virginia","Men, 55 to 64 years",71.2,3.9
"1490",32,"Virginia","Men, 65 years and over",25.1,2.2
"1491",33,"Virginia","Women, 16 to 19 years",28.2,22.7
"1492",34,"Virginia","Women, 20 to 24 years",61,9
"1493",35,"Virginia","Women, 25 to 34 years",72.3,5.6
"1494",36,"Virginia","Women, 35 to 44 years",74.2,4.7
"1495",37,"Virginia","Women, 45 to 54 years",74,3.5
"1496",38,"Virginia","Women, 55 to 64 years",62.8,3.8
"1497",39,"Virginia","Women, 65 years and over",15.4,8.3
"1517",26,"Washington","Men, 16 to 19 years",24,29.4
"1518",27,"Washington","Men, 20 to 24 years",67.1,14.9
"1519",28,"Washington","Men, 25 to 34 years",84.1,6.7
"1520",29,"Washington","Men, 35 to 44 years",87.8,4.9
"1521",30,"Washington","Men, 45 to 54 years",79.6,5.4
"1522",31,"Washington","Men, 55 to 64 years",65.2,6.1
"1523",32,"Washington","Men, 65 years and over",18,4.9
"1524",33,"Washington","Women, 16 to 19 years",23.5,32
"1525",34,"Washington","Women, 20 to 24 years",63.7,10.2
"1526",35,"Washington","Women, 25 to 34 years",68.7,6.4
"1527",36,"Washington","Women, 35 to 44 years",69.6,5.8
"1528",37,"Washington","Women, 45 to 54 years",74.5,4.3
"1529",38,"Washington","Women, 55 to 64 years",58,2.8
"1530",39,"Washington","Women, 65 years and over",12.4,5.2
"1547",26,"West Virginia","Men, 16 to 19 years",19.5,21.1
"1548",27,"West Virginia","Men, 20 to 24 years",66.6,12.1
"1549",28,"West Virginia","Men, 25 to 34 years",73.4,10.9
"1550",29,"West Virginia","Men, 35 to 44 years",79.9,5.9
"1551",30,"West Virginia","Men, 45 to 54 years",70.6,5.7
"1552",31,"West Virginia","Men, 55 to 64 years",51.8,5.1
"1553",32,"West Virginia","Men, 65 years and over",17.1,6.4
"1554",33,"West Virginia","Women, 16 to 19 years",19.4,22.8
"1555",34,"West Virginia","Women, 20 to 24 years",55.4,9.2
"1556",35,"West Virginia","Women, 25 to 34 years",63.6,4
"1557",36,"West Virginia","Women, 35 to 44 years",62.6,4.8
"1558",37,"West Virginia","Women, 45 to 54 years",60.5,4.4
"1559",38,"West Virginia","Women, 55 to 64 years",51.8,3.4
"1560",39,"West Virginia","Women, 65 years and over",12.2,3.6
"1580",26,"Wisconsin","Men, 16 to 19 years",38.5,19.4
"1581",27,"Wisconsin","Men, 20 to 24 years",71.2,13.3
"1582",28,"Wisconsin","Men, 25 to 34 years",83.6,8.3
"1583",29,"Wisconsin","Men, 35 to 44 years",87.7,7.2
"1584",30,"Wisconsin","Men, 45 to 54 years",85.4,3.9
"1585",31,"Wisconsin","Men, 55 to 64 years",70.6,5.8
"1586",32,"Wisconsin","Men, 65 years and over",21.8,7.6
"1587",33,"Wisconsin","Women, 16 to 19 years",46.4,11.8
"1588",34,"Wisconsin","Women, 20 to 24 years",72.8,10.6
"1589",35,"Wisconsin","Women, 25 to 34 years",77.1,6.6
"1590",36,"Wisconsin","Women, 35 to 44 years",79.9,3.9
"1591",37,"Wisconsin","Women, 45 to 54 years",76.9,4.8
"1592",38,"Wisconsin","Women, 55 to 64 years",62.8,3.5
"1593",39,"Wisconsin","Women, 65 years and over",14.6,4.7
"1611",26,"Wyoming","Men, 16 to 19 years",41,18.1
"1612",27,"Wyoming","Men, 20 to 24 years",78.6,5.7
"1613",28,"Wyoming","Men, 25 to 34 years",87,4.6
"1614",29,"Wyoming","Men, 35 to 44 years",91.6,2.4
"1615",30,"Wyoming","Men, 45 to 54 years",86.3,3.8
"1616",31,"Wyoming","Men, 55 to 64 years",70.7,3.7
"1617",32,"Wyoming","Men, 65 years and over",32.4,2.9
"1618",33,"Wyoming","Women, 16 to 19 years",46.7,12.7
"1619",34,"Wyoming","Women, 20 to 24 years",58.5,10.5
"1620",35,"Wyoming","Women, 25 to 34 years",69.7,6.3
"1621",36,"Wyoming","Women, 35 to 44 years",73.5,2.9
"1622",37,"Wyoming","Women, 45 to 54 years",74.2,2
"1623",38,"Wyoming","Women, 55 to 64 years",61.9,3.8
"1624",39,"Wyoming","Women, 65 years and over",20.5,2.9
